date,location,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,weekly_hosp_admissions_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,wave
1/9/21,Singapore,141.143,0.429,25.881,0.079,0.917,90.582,0,11.308,78.4,0,2594,47.22,5453600,delta
2/9/21,Singapore,151.857,0.429,27.845,0.079,0.917,95.9,0,11.271,78.55,0,2564,47.22,5453600,delta
3/9/21,Singapore,183.143,0.429,33.582,0.079,0.917,105.435,0,11.234,78.79,0,2524,47.22,5453600,delta
4/9/21,Singapore,185.429,0,34.001,0,0.917,110.569,0,11.198,79.04,0,2537,47.22,5453600,delta
5/9/21,Singapore,212.714,0,39.004,0,0.917,118.821,0,11.161,79.21,0,2559,47.22,5453600,delta
6/9/21,Singapore,206,0,37.773,0,1.1,115.703,0,11.124,79.34,0,2499,47.22,5453600,delta
7/9/21,Singapore,230.429,0,42.253,0,1.1,116.804,0,11.185,79.45,0,2391,47.22,5453600,delta
8/9/21,Singapore,254.571,0.143,46.68,0.026,1.1,120.654,0,11.247,79.56,0,2302,47.22,5453600,delta
9/9/21,Singapore,292.571,0.286,53.647,0.052,1.284,120.471,0,11.309,79.67,0,2213,47.22,5453600,delta
10/9/21,Singapore,343.143,0.429,62.92,0.079,1.1,125.238,0,11.371,79.86,0,2097,47.22,5453600,delta
11/9/21,Singapore,385.429,0.429,70.674,0.079,1.284,128.539,0,11.432,80.03,0,1960,47.22,5453600,delta
12/9/21,Singapore,432.429,0.429,79.292,0.079,1.284,141.741,0,11.494,80.13,0,1861,47.22,5453600,delta
13/9/21,Singapore,484.714,0.429,88.88,0.079,1.467,140.458,0,11.556,80.22,0,1780,47.22,5453600,delta
14/9/21,Singapore,556.857,0.429,102.108,0.079,1.65,146.692,0,11.662,80.29,0,1712,47.22,5453600,delta
15/9/21,Singapore,622.286,0.286,114.105,0.052,1.65,149.076,0,11.767,80.37,0.09,1791,47.22,5453600,delta
16/9/21,Singapore,687,0.286,125.972,0.052,2.2,151.276,0,11.873,80.45,0.15,1831,47.22,5453600,delta
17/9/21,Singapore,738.714,0.143,135.454,0.026,2.567,146.509,0,11.979,80.57,0.31,1975,47.22,5453600,delta
18/9/21,Singapore,803.571,0.286,147.347,0.052,3.301,154.944,0,12.084,80.68,0.55,2228,47.22,5453600,delta
19/9/21,Singapore,873.857,0.286,160.235,0.052,3.851,156.227,0,12.19,80.75,0.7,2376,47.22,5453600,delta
20/9/21,Singapore,918.143,0.571,168.355,0.105,3.301,190.15,0,12.295,80.83,0.93,2694,47.22,5453600,delta
21/9/21,Singapore,966.857,1,177.288,0.183,3.117,200.235,0,12.231,80.89,1.08,2890,47.22,5453600,delta
22/9/21,Singapore,1059.714,1.429,194.315,0.262,3.484,195.1,0,12.168,80.96,1.37,3134,47.22,5453600,delta
23/9/21,Singapore,1144.571,1.571,209.874,0.288,4.217,201.152,0,12.104,81.03,1.68,3478,47.22,5453600,delta
24/9/21,Singapore,1246.714,2,228.604,0.367,4.217,196.017,0,12.04,81.13,2.12,3838,47.22,5453600,delta
25/9/21,Singapore,1308.714,2.286,239.973,0.419,4.951,204.452,0,11.976,81.22,2.53,4041,47.22,5453600,delta
26/9/21,Singapore,1441.143,2.571,264.255,0.472,5.501,215.087,0,11.912,81.27,2.82,4213,47.22,5453600,delta
27/9/21,Singapore,1545.429,2.571,283.378,0.472,4.951,231.223,0,11.848,81.33,3.23,4448,50.93,5453600,delta
28/9/21,Singapore,1696.571,2.857,311.092,0.524,5.501,237.458,0,11.853,81.4,3.68,4863,50.93,5453600,delta
29/9/21,Singapore,1812.429,3.571,332.336,0.655,6.234,238.558,0,11.857,81.46,4.06,4977,50.93,5453600,delta
30/9/21,Singapore,1951.571,3.571,357.85,0.655,6.234,243.142,0,11.861,81.52,4.45,5080,50.93,5453600,delta
1/10/21,Singapore,2131.429,4.286,390.83,0.786,6.234,242.409,0,11.866,81.59,4.85,4943,50.93,5453600,delta
2/10/21,Singapore,2261.857,4.429,414.746,0.812,5.684,255.061,0,11.87,81.64,5.25,4874,50.93,5453600,delta
3/10/21,Singapore,2278.714,5,417.837,0.917,6.418,238.741,0,11.875,81.68,5.6,4932,50.93,5453600,delta
4/10/21,Singapore,2397,5.857,439.526,1.074,6.418,242.042,0,11.879,81.73,6.01,4896,50.93,5453600,delta
5/10/21,Singapore,2575.571,6.429,472.27,1.179,6.234,271.014,0,11.763,81.78,6.39,4771,50.93,5453600,delta
6/10/21,Singapore,2762.571,5.714,506.559,1.048,6.785,271.93,0,11.646,81.84,6.68,4657,50.93,5453600,delta
7/10/21,Singapore,2906.143,5.857,532.885,1.074,7.335,273.947,0,11.53,81.9,6.95,4470,50.93,5453600,delta
8/10/21,Singapore,3003.429,5.571,550.724,1.022,7.518,279.265,0,11.414,81.98,7.34,4486,50.93,5453600,delta
9/10/21,Singapore,3195.857,6.571,586.009,1.205,7.335,280.365,0,11.297,82.05,7.7,4457,50.93,5453600,delta
10/10/21,Singapore,3303.286,7,605.707,1.284,7.518,288.25,0,11.181,82.09,8.19,4699,50.93,5453600,delta
11/10/21,Singapore,3273,7.286,600.154,1.336,7.701,303.653,0,11.065,82.15,8.68,4884,50.93,5453600,delta
12/10/21,Singapore,3200.143,7.571,586.795,1.388,7.701,289.167,0,10.347,82.21,9.1,4982,50.93,5453600,delta
13/10/21,Singapore,3144.857,8.429,576.657,1.546,8.435,267.896,0,9.63,82.27,9.46,5078,50.93,5453600,delta
14/10/21,Singapore,3066.143,10.143,562.224,1.86,8.435,268.63,0,8.912,82.33,9.78,5168,50.93,5453600,delta
15/10/21,Singapore,3045.429,10.429,558.425,1.912,8.802,283.299,0,8.194,82.41,10.32,5400,50.93,5453600,delta
16/10/21,Singapore,2994.714,10.143,549.126,1.86,11.369,257.078,0,7.477,82.46,10.75,5475,50.93,5453600,delta
17/10/21,Singapore,3030.286,10.143,555.649,1.86,12.102,290.634,0,6.759,82.49,10.96,5045,50.93,5453600,delta
18/10/21,Singapore,3071.714,9.571,563.245,1.755,12.285,302.002,0,6.042,82.55,11.26,4713,50.93,5453600,delta
19/10/21,Singapore,3217.143,9,589.912,1.65,13.019,305.67,0,5.768,82.6,11.6,4535,50.93,5453600,delta
20/10/21,Singapore,3313.143,10.286,607.515,1.886,12.285,302.736,0,5.495,82.65,11.87,4379,50.93,5453600,delta
21/10/21,Singapore,3385.571,10.429,620.796,1.912,11.185,284.583,0,5.222,82.69,12.19,4334,50.93,5453600,delta
22/10/21,Singapore,3413,11.286,625.825,2.069,10.452,284.583,0,4.949,82.75,12.68,4187,50.93,5453600,delta
23/10/21,Singapore,3448.714,10.857,632.374,1.991,10.635,297.418,0,4.676,82.8,13.02,4026,50.93,5453600,delta
24/10/21,Singapore,3495.143,11.714,640.887,2.148,10.635,308.053,0,4.403,82.82,13.2,3964,47.22,5453600,delta
25/10/21,Singapore,3583.857,12.857,657.154,2.358,11.735,314.471,0,4.13,82.87,13.49,3920,47.22,5453600,delta
26/10/21,Singapore,3481.429,13.286,638.373,2.436,12.285,315.388,0,4.13,82.92,13.87,3991,44.44,5453600,delta
27/10/21,Singapore,3690.286,12.143,676.67,2.227,12.102,313.738,0,4.13,82.97,14.15,3997,44.44,5453600,delta
28/10/21,Singapore,3689.286,12,676.486,2.2,11.185,306.403,0,4.13,83.03,14.5,4029,44.44,5453600,delta
29/10/21,Singapore,3776.571,12.286,692.491,2.253,10.819,285.133,0,4.13,83.1,15.09,4209,44.44,5453600,delta
30/10/21,Singapore,3707.143,13.429,679.761,2.462,11.002,287.333,0,4.13,83.17,15.55,4406,44.44,5453600,delta
31/10/21,Singapore,3675.714,13.143,673.998,2.41,11.185,295.401,0,4.13,83.22,15.83,4588,44.44,5453600,delta
1/11/21,Singapore,3575.143,13.143,655.556,2.41,11.369,303.469,0,4.13,83.3,16.16,4709,44.44,5453600,delta
2/11/21,Singapore,3606.429,13,661.293,2.384,11.735,301.819,0,3.976,83.36,16.58,4778,44.44,5453600,delta
3/11/21,Singapore,3365.143,13.286,617.05,2.436,12.652,292.651,0,3.822,83.42,16.87,4805,44.44,5453600,delta
4/11/21,Singapore,3303.857,13.571,605.812,2.489,13.202,295.401,0,3.667,83.44,16.88,4233,44.44,5453600,delta
5/11/21,Singapore,2949.429,12.571,540.822,2.305,12.836,293.201,0,3.513,83.55,17.43,4234,44.44,5453600,delta
6/11/21,Singapore,2938.429,12.286,538.805,2.253,13.569,291.917,0,3.358,83.62,17.87,4211,44.44,5453600,delta
7/11/21,Singapore,2851.286,12.857,522.826,2.358,11.735,291.551,0,3.204,83.66,18.14,4170,44.44,5453600,delta
8/11/21,Singapore,2851.286,12.857,522.826,2.358,12.285,304.019,0,3.049,83.73,18.47,4139,44.44,5453600,delta
9/11/21,Singapore,2837.143,13.286,520.233,2.436,13.202,298.518,0,3.154,83.8,18.9,4169,44.44,5453600,delta
10/11/21,Singapore,2815.143,14,516.199,2.567,13.752,295.401,0,3.259,83.86,19.28,4301,44.44,5453600,delta
11/11/21,Singapore,2728.429,12.714,500.299,2.331,12.836,282.382,0,3.364,83.92,19.65,4922,44.44,5453600,delta
12/11/21,Singapore,2918.714,13.429,535.19,2.462,13.752,282.566,0,3.469,83.99,20.18,4823,44.44,5453600,delta
13/11/21,Singapore,2814.286,13.714,516.042,2.515,13.202,275.414,0,3.574,84.04,20.65,4847,44.44,5453600,delta
14/11/21,Singapore,2695.714,12.714,494.3,2.331,12.652,266.98,0,3.679,84.08,20.96,4900,44.44,5453600,delta
15/11/21,Singapore,2638.429,11.857,483.796,2.174,13.202,267.896,0,3.784,84.14,21.3,4917,44.44,5453600,delta
16/11/21,Singapore,2448.714,12.714,449.009,2.331,12.469,262.762,0,3.784,84.2,21.69,4836,44.44,5453600,delta
17/11/21,Singapore,2447.714,11.286,448.825,2.069,11.735,257.445,0,3.784,84.25,22,4700,44.44,5453600,delta
18/11/21,Singapore,2105.429,10.143,386.062,1.86,11.002,252.127,0,3.784,84.29,22.32,4596,44.44,5453600,delta
19/11/21,Singapore,2201.571,11.286,403.691,2.069,11.735,235.074,0,3.784,84.36,22.8,4509,44.44,5453600,delta
20/11/21,Singapore,2148.286,11.143,393.921,2.043,11.002,239.658,0,3.784,84.41,23.24,4455,44.44,5453600,delta
21/11/21,Singapore,2140.714,10.857,392.532,1.991,11.002,238.741,0,3.784,84.43,23.55,4442,44.44,5453600,delta
22/11/21,Singapore,2053.857,10.429,376.606,1.912,11.369,249.193,0,3.784,84.48,23.88,4398,44.44,5453600,delta
23/11/21,Singapore,2012.857,8.571,369.088,1.572,11.735,242.959,0,3.784,84.53,24.18,4241,44.44,5453600,delta
24/11/21,Singapore,1813.571,8.429,332.546,1.546,10.819,239.475,0,3.784,84.57,24.44,4155,44.44,5453600,delta
25/11/21,Singapore,1995.714,8.857,365.944,1.624,10.085,219.305,0,3.784,84.6,24.7,4054,44.44,5453600,delta
26/11/21,Singapore,1612.571,6.143,295.689,1.126,9.535,216.554,0,3.784,84.66,25.17,4029,44.44,5453600,delta
27/11/21,Singapore,1588.286,5.143,291.236,0.943,10.635,202.252,0,3.784,84.7,25.6,3991,44.44,5453600,delta
28/11/21,Singapore,1456.429,5.571,267.058,1.022,10.085,200.235,0,3.784,84.74,25.86,3921,44.44,5453600,delta
29/11/21,Singapore,1405.286,6.143,257.68,1.126,11.369,200.968,0,3.784,84.79,26.13,3846,44.44,5453600,delta
30/11/21,Singapore,1327.714,6.571,243.456,1.205,11.919,192.167,0,3.784,84.84,26.54,4008,44.44,5453600,delta
1/12/21,Singapore,1219.857,6.857,223.679,1.257,11.185,182.082,0,3.784,84.89,26.81,4039,44.44,5453600,delta
26/12/21,Singapore,264.857,1.286,48.566,0.236,3.301,65.828,0,3.784,86.18,36.83,5548,44.44,5453600,omicron
27/12/21,Singapore,277,1.429,50.792,0.262,3.117,63.444,0,3.784,86.24,37.59,5966,44.44,5453600,omicron
28/12/21,Singapore,289.143,1.143,53.019,0.21,3.117,52.442,0,3.784,86.29,38.44,6490,44.44,5453600,omicron
29/12/21,Singapore,290,1.143,53.176,0.21,2.934,52.993,0,3.784,86.34,39.24,6921,44.44,5453600,omicron
30/12/21,Singapore,288.429,1,52.888,0.183,2.934,48.225,0,3.784,86.4,40.04,7282,44.44,5453600,omicron
31/12/21,Singapore,299.714,1.143,54.957,0.21,2.934,45.841,0,3.784,86.43,40.48,7399,44.44,5453600,omicron
1/1/22,Singapore,329.429,1.143,60.406,0.21,2.567,45.658,0,3.784,86.43,40.48,7397,44.44,5453600,omicron
2/1/22,Singapore,360.857,1,66.169,0.183,2.567,46.208,0,3.784,86.46,41.24,7504,44.44,5453600,omicron
3/1/22,Singapore,387.143,0.571,70.988,0.105,2.384,31.172,0,3.784,86.5,41.95,7559,44.44,5453600,omicron
4/1/22,Singapore,455.286,1,83.484,0.183,2.384,30.805,0,3.784,86.54,42.63,7311,44.44,5453600,omicron
5/1/22,Singapore,521.571,1.143,95.638,0.21,2.567,31.355,0,3.824,86.54428571,43.41428571,7237,44.44,5453600,omicron
6/1/22,Singapore,593.286,1.143,108.788,0.21,2.384,28.972,0,3.864,86.54857143,44.19857143,7154,44.44,5453600,omicron
7/1/22,Singapore,544.143,1,99.777,0.183,2.2,28.055,0,3.903,86.55285714,44.98285714,7685,44.44,5453600,omicron
8/1/22,Singapore,705.857,1.143,129.43,0.21,2.017,27.321,0,3.943,86.55714286,45.76714286,8967,44.44,5453600,omicron
9/1/22,Singapore,765.286,1.286,140.327,0.236,2.017,28.055,0,3.982,86.56142857,46.55142857,8964,44.44,5453600,omicron
10/1/22,Singapore,806.143,1.286,147.818,0.236,2.017,28.972,0,4.022,86.56571429,47.33571429,8934,44.44,5453600,omicron
11/1/22,Singapore,806.714,0.857,147.923,0.157,1.834,28.422,0,3.96,86.57,48.12,9076,44.44,5453600,omicron
12/1/22,Singapore,817.714,0.714,149.94,0.131,1.834,28.788,0,3.859,86.6,48.74,8832,44.44,5453600,omicron
13/1/22,Singapore,838.714,0.571,153.791,0.105,1.65,29.889,0,3.758,86.63,49.38,8669,44.44,5453600,omicron
14/1/22,Singapore,973.714,0.714,178.545,0.131,1.65,32.272,0,3.657,86.67,50.2,8849,44.44,5453600,omicron
15/1/22,Singapore,883.429,0.857,161.99,0.157,2.017,31.172,0,3.556,86.7,50.98,8999,44.44,5453600,omicron
16/1/22,Singapore,886,0.714,162.461,0.131,2.2,33.739,0,3.454,86.72,51.56,8778,44.44,5453600,omicron
17/1/22,Singapore,945.286,0.714,173.332,0.131,2.2,34.839,0,3.353,86.77,52.13,8467,44.44,5453600,omicron
18/1/22,Singapore,1031.286,0.714,189.102,0.131,1.834,44.924,0,3.353,86.77,52.13,8467,44.44,5453600,omicron
19/1/22,Singapore,1136,0.714,208.303,0.131,1.65,51.342,0,3.353,86.77,52.13,8467,44.44,5453600,omicron
20/1/22,Singapore,1209.143,0.857,221.715,0.157,1.65,55.926,0,3.353,86.77,52.13,8467,44.44,5453600,omicron
21/1/22,Singapore,2540.429,0.857,465.826,0.157,1.65,64.361,0,3.353,86.77,52.13,8467,44.44,5453600,omicron
22/1/22,Singapore,2755.714,0.571,505.302,0.105,1.467,72.062,0,3.353,86.77,52.13,8467,44.44,5453600,omicron